complaint_text,category,urgency,duration,affected_count,source
"College portal ka interface itna purana hai ki mobile pe open hi nahi hota properly. It's 2026, please make it mobile-responsive.",Technical Issues,Medium,From last week,2 to 5,synthetic
"I am writing this complaint on behalf of many students who are concerned about the hygiene conditions in the college washrooms, particularly in blocks C and D. The washrooms are cleaned only once in the morning. By 11am they are in a deplorable condition  floors wet, flush not working, no soap, bad odor spreading to corridors. Students are forced to use unhygienic facilities multiple times a day. This increases risk of infections and skin diseases. The administration must hire adequate cleaning staff and ensure washrooms are cleaned at least 3 times daily.",Cleanliness,High,More than a month,5 to 20,synthetic
Girls common room mein AC nahi hai. Boys ke liye facilities hai but girls ke liye basic comfort nahi. Unfair treatment.,Infrastructure,Low,More than a month,2 to 5,synthetic
Senior students verbally abused juniors near the library and threatened them not to use certain chairs 'reserved' for seniors. This entitlement and intimidation needs to stop.,Ragging,High,More than a month,Only me,synthetic
Washroom tiles in boys block have not been scrubbed in a long time. Stains and deposits everywhere. Deep cleaning is overdue.,Cleanliness,High,More than a month,5 to 20,synthetic
"Misal pav is the most popular item but the pav quality is always substandard. Stale, hard, sometimes has an off smell. Basic quality check karo.",Mess/Food,High,More than a month,20+,synthetic
Each Monday MSC test,Academics,High,More than a month,5 to 20,real
Washroom cleaning schedule follow nahi hoti. Subah clean hota hai aur dopahar tak ganda ho jaata hai. At least twice a day cleaning honi chahiye.,Cleanliness,High,More than a month,20+,synthetic
syllabus outdated hai bhai,Academics,High,More than a month,20+,synthetic
The college app crashes frequently and has a very outdated UI. Assignment submissions through the app often fail. Please update or replace it.,Other,Medium,More than a month,5 to 20,synthetic
sir ne personal comment kiya,Ragging,High,From Last Month,Only me,synthetic
Monday Exams ,Academics,High,More than a month,20+,real
"During my MSE exams, a girl who regularly sits in front of me has long hair that often falls over my desk and covers my answer sheet. This repeatedly distracts me and makes it difficult to focus, as I am unable to see my paper clearly. Due to this ongoing issue, I have not been able to complete my exam properly or perform to the best of my ability😢😢",Academics,High,More than a month,20+,real
60 rupaye mein yeh milta hai?,Mess/Food,Low,Today,2 to 5,synthetic
"My issue is with the complete lack of academic resources for the Robotics minor introduced by our department. Robotics is a field that fundamentally depends on both hardware and software, yet our “college” has reduced it to just theoretical or software-based learning, which defeats the entire purpose of the course.
There are no basic resources provided  not even something as simple as an Arduino board for hands-on practice. I haven’t been shown a single working robot, nor has there been any proper demonstration of real robotics applications. How are students expected to understand robotics without ever interacting with actual hardware?
Despite this, the department still expects 75% attendance. On what basis? Why should students attend classes that offer no practical value or real learning experience?
If the college is not capable of providing even the most basic infrastructure required for robotics education, then offering this course is misleading and pointless. Institutions like IITs carefully design their labs and even involve experts or interns to decide what experiments students should perform. In contrast, our “beautiful college” is teaching only software like MATLAB in a so-called robotics lab.

This is not robotics education  this is a complete misrepresentation of the subject.",Academics,High,More than a month,20+,real
"Dustbins are placed only at entrances  not inside labs or near study areas. Students have to walk too far, so they dump waste nearby instead.",Cleanliness,High,From Last Month,20+,synthetic
"The parking area is completely unorganized. No designated spots, vehicles parked randomly  it creates traffic jams every morning and evening.",Infrastructure,Medium,More than a month,2 to 5,synthetic
M-block canteen doesn't accept UPI which is super inconvenient. We are college students  most of us don't carry cash. Please update your payment system bhai.,Mess/Food,High,More than a month,5 to 20,synthetic
The seating capacity in the mess is way too small for the number of students. We end up eating standing or rushing back to class hungry.,Mess/Food,Medium,From Last Month,20+,synthetic
Professors having attitude to help students and they themselves lack education ,Academics,High,More than a month,20+,real
socket problem in labs,Infrastructure,Medium,From Last Month,2 to 5,synthetic
software license expired hai,Technical Issues,Medium,From Last Month,2 to 5,synthetic
wifi nahi chal raha,Technical Issues,High,From Last Month,5 to 20,synthetic
Washroom tiles in boys block have not been scrubbed in a long time. Stains and deposits everywhere. Deep cleaning is overdue.,Cleanliness,High,Today,20+,synthetic
classroom mein dust everywhere,Cleanliness,High,More than a month,20+,synthetic
"Vending machine accepts only exact change  no change given back, no card/UPI. This is 2026, please upgrade the machine.",Other,Medium,More than a month,2 to 5,synthetic
"PC mein virus hai shayad, too slow",Technical Issues,Low,From last week,5 to 20,synthetic
food mein oil bahut zyada hai,Mess/Food,High,Today,20+,synthetic
Misal pav ka pav stale rehta hai. Chawli ki sabji ka smell aata hai. Aur papad toh kabhi milta hi nahi. Is food worth 60 rupees? Absolutely not.,Mess/Food,Medium,More than a month,Only me,synthetic
"Ek faculty member ka behavior students ke saath bahut hi bura hai. Woh class mein questions puchte hai aur agar galat jawab aaya toh loudly mock karte hai  poori class ke saamne. Ek baar ek student ne ek concept pe doubt pucha toh unhone kaha 'itna bhi nahi pata, kya kar rahe ho yahan?' This is deeply demoralizing. Students ki confidence totally shatter ho gayi hai. Aise professor ke saath class attend karna mental torture hai. Please talk to this faculty member and make them understand professional conduct.",Ragging,High,From Last Month,Only me,synthetic
No wheelchair accessibility ramps in older buildings. Students with mobility issues cannot access certain floors. This is a serious inclusion failure.,Infrastructure,Medium,More than a month,20+,synthetic
"Yaar campus ki cleanliness ki situation kya bata bhai. Canteen ke bahar ka area garbage dump ban gaya hai. Stairs ke corners pe kachra, dustbins overflow ho rahe hai, aur bahar ka road bhi littered hai. Students bhi zimmedaar hai for sure  but cleaning staff bhi visible nahi hai campus pe during the day. Koi ek person responsible hona chahiye jo ensure kare ki campus clean hai throughout the day. Ek Sunday campus cleanliness drive organize karo  involve students bhi. Something needs to be done.",Cleanliness,High,More than a month,20+,synthetic
"I am a 3rd year CE student and honestly the academic pressure here is unbearable. We have monday tests every week, ISA exams, practicals, and on top of that tons of assignments with declaration pages for each one. Where is the time to actually learn something? I want to build projects, prepare for interviews, learn new technologies  but the college keeps us so busy with pointless tasks that there's no time left. The professors themselves admit that half the syllabus won't be used in real life. Then why are we being evaluated on it? Please reconsider the academic structure.",Academics,Medium,More than a month,20+,synthetic
professor girls ke saath rude hai especially,Ragging,High,From last week,2 to 5,synthetic
The washroom flush in boys block hasn't been working properly for weeks. It requires multiple attempts or doesn't flush at all. Very unhygienic situation.,Infrastructure,Medium,More than a month,2 to 5,synthetic
Air conditioning does not work properly sometimes ,Infrastructure,Medium,More than a month,5 to 20,real
college mein transport nahi hai,Other,High,More than a month,5 to 20,synthetic
Professor ne exam mein caught cheating ke naam pe ek student ko itna humiliate kiya ki woh rona shuru ho gayi. Stern action is understandable but public humiliation is not.,Ragging,High,From Last Month,Only me,synthetic
"ISA marks affect karte hai SGPA ko, this is unfair",Academics,Medium,More than a month,5 to 20,synthetic
paneer watery hai,Mess/Food,Low,From Last Month,5 to 20,synthetic
Faculty teaching in marathi instead of English or hindi because I don't know marathi ,Academics,High,More than a month,Only me,real
"Junior students are asked by certain seniors to fetch food, do errands, etc. under the guise of 'helping out.' This normalized ragging needs to be addressed.",Ragging,High,More than a month,Only me,synthetic
"Classroom floors are swept but not mopped. Sticky floors, stains, and marks everywhere. Proper floor cleaning with disinfectant is required.",Cleanliness,High,More than a month,5 to 20,synthetic
"After college events, the venue is never cleaned properly. Next day students find leftover food, plastic, and mess everywhere.",Cleanliness,Medium,More than a month,5 to 20,synthetic
"During rains, water leaks into D block library area. Books and bags get wet. The building maintenance is clearly not done properly.",Infrastructure,Medium,More than a month,2 to 5,synthetic
"Yaar ITI students get better practical training than us sometimes. Hum engineering kar rahe hai but kabhi kuch banana nahi sikha. Sab theoretical hai. Physics, maths, theory, theory, theory. Kab industry-ready honge? Companies mein jaate hai interview ke liye toh pata chalta hai kitna gap hai. College ki responsibility hai ki hume ready kare  aur yeh college fail ho rahi hai is maamle mein completely.",Academics,Low,More than a month,20+,synthetic
bahar ka area safe nahi hai,Infrastructure,High,More than a month,20+,synthetic
"Ek faculty member ka behavior students ke saath bahut hi bura hai. Woh class mein questions puchte hai aur agar galat jawab aaya toh loudly mock karte hai  poori class ke saamne. Ek baar ek student ne ek concept pe doubt pucha toh unhone kaha 'itna bhi nahi pata, kya kar rahe ho yahan?' This is deeply demoralizing. Students ki confidence totally shatter ho gayi hai. Aise professor ke saath class attend karna mental torture hai. Please talk to this faculty member and make them understand professional conduct.",Ragging,High,More than a month,2 to 5,synthetic
classroom windows broken hain,Infrastructure,Medium,More than a month,20+,synthetic
Wifi password change hote rehta hai bina notice ke. Ek din suddenly disconnect  class mein teacher something batate hai aur hum internet ke bina hote hai.,Technical Issues,Low,More than a month,5 to 20,synthetic
Cleaning ,Cleanliness,High,From Last Month,2 to 5,real
Lab mein socket itne kharab hai ki students ko pen daal ke charger lagana padta hai. Yeh dangerous hai  electric shock ka risk hai. Please fix immediately.,Infrastructure,High,More than a month,20+,synthetic
"Rugved Deolekar sir ne sirf ID card nahi hone pe itna bura behave kiya. Loudly scolded in front of everyone, used rude language. That is not how you speak to students.",Ragging,High,From last week,2 to 5,synthetic
D block washroom ka floor drainage system kharab hai. Paani floor pe ruk jaata hai aur slippery ho jaata hai. Ek student phisal bhi chuki hai wahan se. Yeh ek accident ka intezaar hai. Flush bhi properly nahi kaam karta. Soap nahi hai. Overall washroom condition bahut unhygienic hai. Please send maintenance team to D block washrooms on priority. This is a safety and hygiene emergency.,Infrastructure,Medium,More than a month,20+,synthetic
Classroom smart boards are rarely functional. Teachers end up using chalk boards which defeats the purpose of having smart technology.,Technical Issues,High,From Last Month,5 to 20,synthetic
OHU students ke liye food affordable nahi,Mess/Food,High,From Last Month,2 to 5,synthetic
"The college website is outdated  timetables are wrong, faculty list is incomplete, and contact information leads to dead ends.",Other,High,From Last Month,2 to 5,synthetic
"No proper induction program for first year students. They are lost for the first month with no guidance on processes, facilities, or expectations.",Other,High,More than a month,2 to 5,synthetic
"Dustbins are placed only at entrances  not inside labs or near study areas. Students have to walk too far, so they dump waste nearby instead.",Cleanliness,Medium,More than a month,20+,synthetic
language barrier hai lectures mein,Other,Medium,More than a month,5 to 20,synthetic
sir ne gaali di class mein,Ragging,High,From Last Month,Only me,synthetic
During MSE exams submission portal crashed and many students couldn't upload on time. Who takes responsibility for technical failure?,Technical Issues,Low,From last week,20+,synthetic
"Junior students are asked by certain seniors to fetch food, do errands, etc. under the guise of 'helping out.' This normalized ragging needs to be addressed.",Ragging,High,From Last Month,2 to 5,synthetic
ID card pe sir ne bully kiya,Ragging,High,From Last Month,Only me,synthetic
seating nahi milti lunch mein,Mess/Food,High,More than a month,2 to 5,synthetic
outside college area littered,Cleanliness,High,More than a month,5 to 20,synthetic
Professor ek particular student group ke saath bias rakhta hai  favorites ko marks deta hai aur baaki ko unfairly treats karta hai. This is discrimination.,Ragging,High,From Last Month,Only me,synthetic
5 month long semester giving no time for self study or skills improvement ,Academics,High,More than a month,5 to 20,real
"Classroom floors are swept but not mopped. Sticky floors, stains, and marks everywhere. Proper floor cleaning with disinfectant is required.",Cleanliness,Medium,More than a month,5 to 20,synthetic
"Ek faculty member ka behavior students ke saath bahut hi bura hai. Woh class mein questions puchte hai aur agar galat jawab aaya toh loudly mock karte hai  poori class ke saamne. Ek baar ek student ne ek concept pe doubt pucha toh unhone kaha 'itna bhi nahi pata, kya kar rahe ho yahan?' This is deeply demoralizing. Students ki confidence totally shatter ho gayi hai. Aise professor ke saath class attend karna mental torture hai. Please talk to this faculty member and make them understand professional conduct.",Ragging,High,From Last Month,Only me,synthetic
"Network speed during peak hours (10am-12pm) drops to almost nothing. Too many users, not enough bandwidth. Upgrade the network capacity.",Technical Issues,High,More than a month,2 to 5,synthetic
Monday test,Academics,High,More than a month,20+,real
College WiFi ka login system is very buggy. Aadhe time login page hi nahi aata. Aur agar aa gaya toh disconnect ho jata hai 5 minutes mein.,Technical Issues,Medium,More than a month,Only me,synthetic
"Sweeping is done daily but with the same dirty broom  it just moves the dust around, doesn't clean. Use proper mops with disinfectant.",Cleanliness,High,More than a month,20+,synthetic
Canteen ki seating capacity MUST be increased. 200+ students aate hai ek saath lunch pe aur baith ne ki jagah 50 logon ke liye hai. Simple math problem.,Mess/Food,High,From last week,5 to 20,synthetic
I want to raise a serious concern about the iMac lab. The college proudly advertises this lab but students have no access to it. It's always locked. The hardware is just sitting there collecting dust while students use their personal laptops for everything. Why was this lab set up if students can't use it? Let us use it during free periods or at least give access to CS and IT students. Such expensive equipment going to waste is both sad and frustrating.,Technical Issues,Medium,More than a month,20+,synthetic
mess ka khana bekar hai,Mess/Food,High,More than a month,2 to 5,synthetic
"Emergency exit signs in C block are faded and barely visible. In case of fire, this could be life-threatening. Please repaint them.",Infrastructure,Medium,More than a month,5 to 20,synthetic
no cleaning staff visible during day,Cleanliness,High,More than a month,20+,synthetic
The cleaning staff doesn't clean under benches in the canteen. Food particles accumulate there attracting cockroaches and ants.,Cleanliness,High,More than a month,20+,synthetic
canopy leaks during rains,Infrastructure,Medium,From Last Month,20+,synthetic
"Network speed during peak hours (10am-12pm) drops to almost nothing. Too many users, not enough bandwidth. Upgrade the network capacity.",Technical Issues,High,From last week,2 to 5,synthetic
"College social media pages post irrelevant content. Important announcements should be made on official channels, not buried under event photos.",Other,High,More than a month,Only me,synthetic
Honestly monday test band honi chahiye. Weekend ka ek din study ke liye chahiye  test ki preparation ke liye nahi. Let us rest and learn at our pace.,Academics,High,From Last Month,20+,synthetic
Student ID cards take 2+ months to be issued to new students. Many facilities require ID proof  students are stuck without it.,Other,High,More than a month,20+,synthetic
"Being honest here  the monday MSC tests are absolutely pointless. We are engineering students, not school kids. Every monday we have to mug up something, write a test, and the marks go into our ISA which affects SGPA. This creates unnecessary anxiety and leaves no weekend for actual learning. Companies hire for skills, not for monday test marks. Please scrap this system or at least make it optional. Our mental health matters too.",Academics,High,From Last Month,20+,synthetic
D block washroom ka floor drainage system kharab hai. Paani floor pe ruk jaata hai aur slippery ho jaata hai. Ek student phisal bhi chuki hai wahan se. Yeh ek accident ka intezaar hai. Flush bhi properly nahi kaam karta. Soap nahi hai. Overall washroom condition bahut unhygienic hai. Please send maintenance team to D block washrooms on priority. This is a safety and hygiene emergency.,Infrastructure,High,More than a month,20+,synthetic
"Yaar seriously aaj kal college mein padhna ek torture ban gaya hai. Monday test, tuesday assignment submission, wednesday practical, thursday ISA  kab breathe karein? Aur professor jo padhate hai woh bhi outdated hai. Industry mein koi aur cheez maang raha hai aur hum yahan kuch aur seekh rahe hai. Phir placement ka time aata hai toh samajh nahi aata kya karein. College ne koi roadmap nahi diya, koi mentoring nahi, bas attendance count hoti hai. This is so demoralizing.",Academics,High,More than a month,5 to 20,synthetic
water purifier unclean hai,Cleanliness,High,More than a month,20+,synthetic
washroom flush nahi kaam karta,Infrastructure,High,More than a month,2 to 5,synthetic
"I want to formally complain about the quality of food being served in the college mess. The food is regularly tasteless, poorly cooked, and sometimes even smells off. The gravy dishes are extremely watery. The chapatis are so thin they fall apart. The price has increased but quality has only gone down. Many students including myself have faced stomach issues after eating from the mess. This is a serious health concern and needs immediate attention from the college administration.",Mess/Food,Low,More than a month,5 to 20,synthetic
"Classroom floors are swept but not mopped. Sticky floors, stains, and marks everywhere. Proper floor cleaning with disinfectant is required.",Cleanliness,High,More than a month,20+,synthetic
cgpa pe bohot pressure hai,Academics,High,More than a month,20+,synthetic
College fee payment portal crashes near deadline. Then late fee is charged even when the failure was on the portal's end. Unfair.,Other,High,More than a month,2 to 5,synthetic
Washroom cleaning ,Cleanliness,Medium,More than a month,5 to 20,real
Monday tests again  ,Academics,High,More than a month,20+,synthetic
"Clg mein skills develop karne ka koi platform nahi diya gaya. No hackathons, no workshops, no industry visits. Bas books aur tests.",Academics,Low,More than a month,5 to 20,synthetic
wifi nahi chal raha,Technical Issues,Low,More than a month,5 to 20,synthetic
"Girls washroom in D block is always dirty. Floors wet, no flush working, no soap. How can students use this 5-6 times a day in such conditions? Cleaning honi chahiye regularly.",Cleanliness,High,More than a month,5 to 20,synthetic
"I am a 3rd year CE student and honestly the academic pressure here is unbearable. We have monday tests every week, ISA exams, practicals, and on top of that tons of assignments with declaration pages for each one. Where is the time to actually learn something? I want to build projects, prepare for interviews, learn new technologies  but the college keeps us so busy with pointless tasks that there's no time left. The professors themselves admit that half the syllabus won't be used in real life. Then why are we being evaluated on it? Please reconsider the academic structure.",Academics,High,More than a month,20+,synthetic
wifi bilkul kaam nahi kar raha,Technical Issues,High,Today,20+,Synthetic
net bohot slow chal raha hai,Technical Issues,High,From last week,20+,Synthetic
internet baar baar disconnect ho raha,Technical Issues,High,Today,2 to 5,Synthetic
lab systems login nahi ho rahe,Technical Issues,High,Today,20+,Synthetic
projector connect nahi ho raha,Technical Issues,Medium,From last week,2 to 5,Synthetic
college wifi range bahut weak hai,Technical Issues,Medium,More than a month,20+,Synthetic
lan port kaam nahi kar raha,Technical Issues,Medium,From last week,Only me,Synthetic
system hang ho raha hai baar baar,Technical Issues,High,Today,2 to 5,Synthetic
printer network se connect nahi ho raha,Technical Issues,Medium,From last week,Only me,Synthetic
server down lag raha hai,Technical Issues,High,Today,20+,Synthetic
washroom bahut ganda hai,Cleanliness,High,Today,20+,Synthetic
toilet flush kaam nahi kar raha,Cleanliness,High,Today,2 to 5,Synthetic
floor properly clean nahi hota,Cleanliness,Medium,From last week,20+,Synthetic
dust bins overflow ho rahe hai,Cleanliness,High,Today,20+,Synthetic
classroom mein dust hai everywhere,Cleanliness,Medium,From last week,2 to 5,Synthetic
washroom mein smell aa rahi hai,Cleanliness,High,Today,20+,Synthetic
cleaning staff regular nahi aata,Cleanliness,Medium,More than a month,20+,Synthetic
mess area ganda rehta hai,Cleanliness,High,Today,20+,Synthetic
drinking water area dirty hai,Cleanliness,High,From last week,2 to 5,Synthetic
corridors mein kachra pada rehta hai,Cleanliness,Medium,From last week,20+,Synthetic
ac cooling nahi kar raha,Infrastructure,High,Today,2 to 5,Synthetic
fan kaam nahi kar raha classroom mein,Infrastructure,Medium,From last week,2 to 5,Synthetic
lights flicker ho rahi hai,Infrastructure,Medium,From last week,20+,Synthetic
bench toot gaya hai,Infrastructure,Low,More than a month,Only me,Synthetic
door properly band nahi hota,Infrastructure,Medium,From last week,2 to 5,Synthetic
window broken hai class ki,Infrastructure,Medium,More than a month,Only me,Synthetic
ceiling se pani tapak raha hai,Infrastructure,High,Today,20+,Synthetic
water cooler kaam nahi kar raha,Infrastructure,High,Today,20+,Synthetic
lift kaam nahi kar rahi,Infrastructure,High,Today,20+,Synthetic
classroom ventilation bahut poor hai,Infrastructure,Medium,More than a month,20+,Synthetic
mess ka khana bilkul bakwas hai,Mess/Food,High,Today,20+,Synthetic
food quality bahut low hai,Mess/Food,High,From last week,20+,Synthetic
roti hard hai aur sabzi tasteless,Mess/Food,Medium,From last week,20+,Synthetic
khana thanda serve hota hai,Mess/Food,Medium,From last week,20+,Synthetic
milk kharab lag raha hai,Mess/Food,High,Today,2 to 5,Synthetic
food oily bahut hai,Mess/Food,Medium,From last week,20+,Synthetic
mess mein hygiene maintain nahi hota,Mess/Food,High,Today,20+,Synthetic
rice undercooked hai,Mess/Food,Medium,Today,2 to 5,Synthetic
snacks fresh nahi hote,Mess/Food,Medium,From last week,20+,Synthetic
water quality doubtful hai mess mein,Mess/Food,High,Today,20+,Synthetic
teacher achha explain nahi karte,Academics,High,From last week,20+,Synthetic
lecture samajh nahi aata,Academics,High,From last week,20+,Synthetic
syllabus complete nahi hua,Academics,High,More than a month,20+,Synthetic
assignment deadlines unclear hai,Academics,Medium,From last week,2 to 5,Synthetic
test schedule confusing hai,Academics,Medium,Today,20+,Synthetic
notes provide nahi kiye gaye,Academics,Medium,From last week,20+,Synthetic
teacher fast padha rahe hai,Academics,Medium,From last week,20+,Synthetic
doubt solve nahi hote class mein,Academics,High,From last week,20+,Synthetic
lab sessions properly conduct nahi ho rahe,Academics,High,More than a month,20+,Synthetic
attendance marking galat hai,Academics,High,Today,2 to 5,Synthetic
ragging ho rahi hostel mein, Ragging,High,Today,2 to 5,Synthetic
seniors force kar rahe hai kaam karne ko,Ragging,High,Today,Only me,Synthetic
hostel mein bullying ho rahi hai,Ragging,High,From last week,2 to 5,Synthetic
seniors abusive language use kar rahe hai,Ragging,High,Today,Only me,Synthetic
ragging complaints ignore ho rahe hai,Ragging,High,From last week,2 to 5,Synthetic
first years ko torture kiya ja raha,Ragging,High,Today,2 to 5,Synthetic
mentally harass kar rahe seniors,Ragging,High,From last week,Only me,Synthetic
ragging control nahi ho raha,Ragging,High,More than a month,20+,Synthetic
seniors threaten karte hai,Ragging,High,Today,Only me,Synthetic
ragging ke cases badh rahe hai,Ragging,High,From last week,20+,Synthetic
fees issue resolve nahi ho raha,Other,High,From last week,2 to 5,Synthetic
id card nahi mila abhi tak,Other,Medium,More than a month,Only me,Synthetic
admin office response slow hai,Other,Medium,From last week,2 to 5,Synthetic
documents verify nahi hue abhi tak,Other,High,More than a month,Only me,Synthetic
portal login issue aa raha hai,Other,High,Today,2 to 5,Synthetic
registration process confusing hai,Other,Medium,From last week,20+,Synthetic
exam form submit nahi ho raha,Other,High,Today,2 to 5,Synthetic
staff cooperate nahi kar raha,Other,Medium,From last week,2 to 5,Synthetic
website crash ho jati hai baar baar,Other,High,Today,20+,Synthetic
email ka reply nahi mil raha,Other,Medium,From last week,Only me,Synthetic
